a,a,Columna1,Columna2,Columna2
46010299,27,,,
46010300,27,,,
46010301,27,,,
46010302,27,,,
46010303,27,,,
46010304,27,,,
46010305,27,,,
46010306,27,,,
46010307,27,,,
46010308,27,,,
46010309,27,,,
46010310,27,,,
46010311,27,,,
46010312,27,,,
46010313,27,,,
46010314,27,,,
46010315,27,,,
46010316,27,,,
46010317,27,,,
46010318,27,,,
46010319,27,,,
46010320,27,,,
46010321,27,,,
46010322,27,,,
46010323,27,,,
46010324,27,,,
46010325,27,,,
46010326,27,,,
46010327,27,,,
46010328,27,,,
46010329,27,,,
46010330,27,,,
46010331,27,,,
46010332,27,,,
46010333,27,,,
46010334,27,,,
46010335,27,,,
46010336,27,,,
46010337,27,,,
46010338,27,,,
46010339,27,,,
46010340,27,,,
46010341,27,,,
46010342,27,,,
46010343,27,,,
46010344,27,,,
46010345,27,,,
46010346,27,,,
46010347,27,,,
46010348,27,,,
46010349,27,,,
46010350,27,,,
46010351,27,,,
46010352,27,,,
46010353,27,,,
46010354,27,,,
46010355,27,,,
46010356,27,,,
46010357,27,,,
46010358,27,,,
46010359,27,,,
46010360,27,,,
46010361,27,,,
46010362,27,,,
46010363,27,,,
46010364,27,,,
46010365,27,,,
46010366,27,,,
46010367,27,,,
46010368,27,,,
46010369,27,,,
46010370,27,,,
46010371,27,,,
46010372,27,,,
46010373,27,,,
46010374,27,,,
46010375,27,,,
46010376,27,,,
46010377,27,,,
46010378,27,,,
46010379,27,,,
46010380,27,,,
46010381,27,,,
46010382,27,,,
46010383,27,,,
46010384,27,,,
46010385,27,,,
46010386,27,,,
46010387,27,,,
46010388,27,,,
46010389,27,,,
46010390,27,,,
46010391,27,,,
46010392,27,,,
46010393,27,,,
46010394,27,,,
46010395,27,,,
46010396,27,,,
46010397,27,,,
46010398,27,,,
46010399,27,,,
46010400,27,,,
46010401,27,,,
46010402,27,,,
46010403,27,,,
46010404,27,,,
46010405,27,,,
46010406,27,,,
46010407,27,,,
46010408,27,,,
46010409,27,,,
46010410,27,,,
46010411,27,,,
46010412,27,,,
46010413,27,,,
46010414,27,,,
46010415,27,,,
46010416,27,,,
46010417,27,,,
46010418,27,,,
46010419,27,,,
46010420,27,,,
46010421,27,,,
46010422,27,,,
46010423,27,,,
46010424,27,,,
46010425,27,,,
46010426,27,,,
46010427,27,,,
46010428,27,,,
46010429,27,,,
46010430,27,,,
46010431,27,,,
46010432,27,,,
46010433,27,,,
46010434,27,,,
46010435,27,,,
46010436,27,,,
46010437,27,,,
46010438,27,,,
46010439,27,,,
46010440,27,,,
46010441,27,,,
46010442,27,,,
46010443,27,,,
46010444,27,,,
46010445,27,,,
46010446,27,,,
46010447,27,,,
46010448,27,,,
46010449,27,,,
46010450,27,,,
46010451,27,,,
46010452,27,,,
46010453,27,,,
46010454,27,,,
46010455,27,,,
46010456,27,,,
46010457,27,,,
46010458,27,,,
46010459,27,,,
46010460,27,,,
46010461,27,,,
46010462,27,,,
46010463,27,,,
46010464,27,,,
46010465,27,,,
46010466,27,,,
46010467,27,,,
46010468,27,,,
46010469,27,,,
46010470,27,,,
46010471,27,,,
46010472,27,,,
46010473,27,,,
46010474,27,,,
46010475,27,,,
46010476,27,,,
46010477,27,,,
46010478,27,,,
46010479,27,,,
46010480,27,,,
46010481,27,,,
46010482,27,,,
46010483,27,,,
46010484,27,,,
46010485,27,,,
46010486,27,,,
46010487,27,,,
46010488,27,,,
46010489,27,,,
46010490,27,,,
46010491,27,,,
46010492,27,,,
46010493,27,,,
46010494,27,,,
46010495,27,,,
46010496,27,,,
46010497,27,,,
46010498,27,,,
46010499,27,,,
46010500,27,,,
46010501,27,,,
46010502,27,,,
46010503,27,,,
46010504,27,,,
46010505,27,,,
46010506,27,,,
46010507,27,,,
46010508,27,,,
46010509,27,,,
46010510,27,,,
46010511,27,,,
46010512,27,,,
46010513,27,,,
46010514,27,,,
46010515,27,,,
46010516,27,,,
46010517,27,,,
46010518,27,,,
46010519,27,,,
46010520,27,,,
46010521,27,,,
46010522,27,,,
46010523,27,,,
46010524,27,,,
46010525,27,,,
46010526,27,,,
46010527,27,,,
46010528,27,,,
46010529,27,,,
46010530,27,,,
46010531,27,,,
46010532,27,,,
46010533,27,,,
46010534,27,,,
46010535,27,,,
