colum1,colum2,Columna1,Columna2,Columna2
08113012,2,,,
08113019,2,,,
08113038,2,,,
08113050,2,,,
08113055,2,,,
08113100,2,,,
08113103,2,,,
08113118,2,,,
08113121,2,,,
08113160,2,,,
08113167,2,,,
08113182,2,,,
08113184,2,,,
08113192,2,,,
08113198,2,,,
08113211,2,,,
08113237,2,,,
08113253,2,,,
08113264,2,,,
08113283,2,,,
08113308,2,,,
08113340,2,,,
08113347,2,,,
08113359,2,,,
08113369,2,,,
08113370,2,,,
08113373,2,,,
08113375,2,,,
08113379,2,,,
08113384,2,,,
08113431,2,,,
08113481,2,,,
08113486,2,,,
08113489,2,,,
08113496,2,,,
08113499,2,,,
08113501,2,,,
08113507,2,,,
08113519,2,,,
08113525,2,,,
08113529,2,,,
08113537,2,,,
08113550,2,,,
08113558,2,,,
08113567,2,,,
08113568,2,,,
08113579,2,,,
08113588,2,,,
08113592,2,,,
08113601,2,,,
08113619,2,,,
08113630,2,,,
08113641,2,,,
08113690,2,,,
08113692,2,,,
08113694,2,,,
08113697,2,,,
08113708,2,,,
08113716,2,,,
08113728,2,,,
08113729,2,,,
08113731,2,,,
08113742,2,,,
08113746,2,,,
08113755,2,,,
08113756,2,,,
08113766,2,,,
08113787,2,,,
08113799,2,,,
08113800,2,,,
08113813,2,,,
08113828,2,,,
08113829,2,,,
08113832,2,,,
08113834,2,,,
08113845,2,,,
08113855,2,,,
08113857,2,,,
08113877,2,,,
08113900,2,,,
08113909,2,,,
08113926,2,,,
08113928,2,,,
08113939,2,,,
08113944,2,,,
08113955,2,,,
08113973,2,,,
08113979,2,,,
08113984,2,,,
08113986,2,,,
08113990,2,,,
08113993,2,,,
08113998,2,,,
08113999,2,,,
08114019,2,,,
08114027,2,,,
08114035,2,,,
08114046,2,,,
08114048,2,,,
08114069,2,,,
08114086,2,,,
08114095,2,,,
08114099,2,,,
08114104,2,,,
08114105,2,,,
08114144,2,,,
08114150,2,,,
08114170,2,,,
08114191,2,,,
08114202,2,,,
08114206,2,,,
08114225,2,,,
08114233,2,,,
08114238,2,,,
08114242,2,,,
08114258,2,,,
08114265,2,,,
08114280,2,,,
08114290,2,,,
08114292,2,,,
08114300,2,,,
08114304,2,,,
08114310,2,,,
08114317,2,,,
08114334,2,,,
08114337,2,,,
08114341,2,,,
08114344,2,,,
08114360,2,,,
08114374,2,,,
08114392,2,,,
08114413,2,,,
08114421,2,,,
08114434,2,,,
08114438,2,,,
08114441,2,,,
08114450,2,,,
08114468,2,,,
08114477,2,,,
08114478,2,,,
08114480,2,,,
08114526,2,,,
08114538,2,,,
08114541,2,,,
08114545,2,,,
08114551,2,,,
08114567,2,,,
08114585,2,,,
08114588,2,,,
08114593,2,,,
08114612,2,,,
08114623,2,,,
08114649,2,,,
08114659,2,,,
08114662,2,,,
08114678,2,,,
08114720,2,,,
08114731,2,,,
08114741,2,,,
08114743,2,,,
08114752,2,,,
08114754,2,,,
08114772,2,,,
08114774,2,,,
08114776,2,,,
08114777,2,,,
08114785,2,,,
08114790,2,,,
08114793,2,,,
08114802,2,,,
08114805,2,,,
08114828,2,,,
08114848,2,,,
08114864,2,,,
08114912,2,,,
08114941,2,,,
08114943,2,,,
08114964,2,,,
08114996,2,,,
08114998,2,,,
08115014,2,,,
08115076,2,,,
08115079,2,,,
08115090,2,,,
08115108,2,,,
08115138,2,,,
08115141,2,,,
08115143,2,,,
08115164,2,,,
08115175,2,,,
08115191,2,,,
08115192,2,,,
08115196,2,,,
08115199,2,,,
08115225,2,,,
08115226,2,,,
08115228,2,,,
08115230,2,,,
08115235,2,,,
08115246,2,,,
08115260,2,,,
08115266,2,,,
08115268,2,,,
08115274,2,,,
08115301,2,,,
08115304,2,,,
08115325,2,,,
08115333,2,,,
08115353,2,,,
08115358,2,,,
08115383,2,,,
08115386,2,,,
08115394,2,,,
08115405,2,,,
08115414,2,,,
08115476,2,,,
08115488,2,,,
08115514,2,,,
08115530,2,,,
08115537,2,,,
08115538,2,,,
08115540,2,,,
08115546,2,,,
08115560,2,,,
08115571,2,,,
08115582,2,,,
08115592,2,,,
08115596,2,,,
08115598,2,,,
08115603,2,,,
08115604,2,,,
08115609,2,,,
08115611,2,,,
08115628,2,,,
08115686,2,,,
08115712,2,,,
08115734,2,,,
08115740,2,,,
08115743,2,,,
08115748,2,,,
08115754,2,,,
08115755,2,,,
08115759,2,,,
08115760,2,,,
08115768,2,,,
08115771,2,,,
08115772,2,,,
08115777,2,,,
08115793,2,,,
08115795,2,,,
08115813,2,,,
08115818,2,,,
08115838,2,,,
08115845,2,,,
08115860,2,,,
08115869,2,,,
08115879,2,,,
08115887,2,,,
08115899,2,,,
08115910,2,,,
08115917,2,,,
08115930,2,,,
08115934,2,,,
08115939,2,,,
08115941,2,,,
08115950,2,,,
08115951,2,,,
08115957,2,,,
08115961,2,,,
08115969,2,,,
08115978,2,,,
08115991,2,,,
08116023,2,,,
08116027,2,,,
08116040,2,,,
08116045,2,,,
08116051,2,,,
08116054,2,,,
08116069,2,,,
08116089,2,,,
08116101,2,,,
08116125,2,,,
08116148,2,,,
08116153,2,,,
08116167,2,,,
08116179,2,,,
08116183,2,,,
08116196,2,,,
08116211,2,,,
08116214,2,,,
08116220,2,,,
08116236,2,,,
08116261,2,,,
08116269,2,,,
08116271,2,,,
08116293,2,,,
08116299,2,,,
08116331,2,,,
08116339,2,,,
08116342,2,,,
08116343,2,,,
08116350,2,,,
08116358,2,,,
08116383,2,,,
08116387,2,,,
08116404,2,,,
08116410,2,,,
08116430,2,,,
08116436,2,,,
08116455,2,,,
08116466,2,,,
08116486,2,,,
08116488,2,,,
08116498,2,,,
08116502,2,,,
08116515,2,,,
08116525,2,,,
08105749,2,,,
08105753,2,,,
08105766,2,,,
08105790,2,,,
08105809,2,,,
08105810,2,,,
08105830,2,,,
08105834,2,,,
08105837,2,,,
08105838,2,,,
08105853,2,,,
08105858,2,,,
08105866,2,,,
08105883,2,,,
08105897,2,,,
08105901,2,,,
08105909,2,,,
08105928,2,,,
08105931,2,,,
08105961,2,,,
08105962,2,,,
08105976,2,,,
08105988,2,,,
08106011,2,,,
08106024,2,,,
08106034,2,,,
08106040,2,,,
08106046,2,,,
08106054,2,,,
08106064,2,,,
08106117,2,,,
08106120,2,,,
08106135,2,,,
08106136,2,,,
08106137,2,,,
08106158,2,,,
08106160,2,,,
08106164,2,,,
08106170,2,,,
08106173,2,,,
08106193,2,,,
08106200,2,,,
08106205,2,,,
08106213,2,,,
08106214,2,,,
08106218,2,,,
08106223,2,,,
08106226,2,,,
08106228,2,,,
08106250,2,,,
08106258,2,,,
08106262,2,,,
08106274,2,,,
08106297,2,,,
08106316,2,,,
08106330,2,,,
08106333,2,,,
08106334,2,,,
08106356,2,,,
08106366,2,,,
08106378,2,,,
08106387,2,,,
08106400,2,,,
08106403,2,,,
08106412,2,,,
08106423,2,,,
08106427,2,,,
08106433,2,,,
08106439,2,,,
08106455,2,,,
08106458,2,,,
08106465,2,,,
08106485,2,,,
08106516,2,,,
08106517,2,,,
08106521,2,,,
08106522,2,,,
08106524,2,,,
08106526,2,,,
08106530,2,,,
08106564,2,,,
08106591,2,,,
08106597,2,,,
08106600,2,,,
08106628,2,,,
08106637,2,,,
08106659,2,,,
08106661,2,,,
08106663,2,,,
08106680,2,,,
08106703,2,,,
08106705,2,,,
08106712,2,,,
08106745,2,,,
08106766,2,,,
08106770,2,,,
08106774,2,,,
08106785,2,,,
08106824,2,,,
08106846,2,,,
08106848,2,,,
08106883,2,,,
08106886,2,,,
08106888,2,,,
08106902,2,,,
08106911,2,,,
08106926,2,,,
08106935,2,,,
08106949,2,,,
08106953,2,,,
08106965,2,,,
08106966,2,,,
08106975,2,,,
08106982,2,,,
08106988,2,,,
08106989,2,,,
08107001,2,,,
08107009,2,,,
08107022,2,,,
08107039,2,,,
08107070,2,,,
08107078,2,,,
08107082,2,,,
08107083,2,,,
08107088,2,,,
08107115,2,,,
08107120,2,,,
08107171,2,,,
08107172,2,,,
08107175,2,,,
08107201,2,,,
08107224,2,,,
08107248,2,,,
08107251,2,,,
08107258,2,,,
08107274,2,,,
08107277,2,,,
08107299,2,,,
08107312,2,,,
08107315,2,,,
08107322,2,,,
08107332,2,,,
08107337,2,,,
08107338,2,,,
08107342,2,,,
08107377,2,,,
08107385,2,,,
08107397,2,,,
08107399,2,,,
08107401,2,,,
08107408,2,,,
08107410,2,,,
08107423,2,,,
08107432,2,,,
08107437,2,,,
08107442,2,,,
08107444,2,,,
08107447,2,,,
08107449,2,,,
08107463,2,,,
08107498,2,,,
08107507,2,,,
08107511,2,,,
08107512,2,,,
08107526,2,,,
08107527,2,,,
08107536,2,,,
08107551,2,,,
08107552,2,,,
08107570,2,,,
08107591,2,,,
08107626,2,,,
08107634,2,,,
08107635,2,,,
08107644,2,,,
08107657,2,,,
08107670,2,,,
08107683,2,,,
08107688,2,,,
08107693,2,,,
08107745,2,,,
08107778,2,,,
08107781,2,,,
08107791,2,,,
08107795,2,,,
08107804,2,,,
08107806,2,,,
08107808,2,,,
08107829,2,,,
08107834,2,,,
08107848,2,,,
08107865,2,,,
08107875,2,,,
08107884,2,,,
08107886,2,,,
08107900,2,,,
08107901,2,,,
08107929,2,,,
08107933,2,,,
08107951,2,,,
08107953,2,,,
08107959,2,,,
08107973,2,,,
08107992,2,,,
08107998,2,,,
08108008,2,,,
08108010,2,,,
08108011,2,,,
08108026,2,,,
08108043,2,,,
08108070,2,,,
08108071,2,,,
08108075,2,,,
08108099,2,,,
08108101,2,,,
08108110,2,,,
08108122,2,,,
08108128,2,,,
08108152,2,,,
08108176,2,,,
08108179,2,,,
08108196,2,,,
08108209,2,,,
08108210,2,,,
08108221,2,,,
08108253,2,,,
08108259,2,,,
08108263,2,,,
08108266,2,,,
08108268,2,,,
08108293,2,,,
08108320,2,,,
08108341,2,,,
08108382,2,,,
08108387,2,,,
08108391,2,,,
08108417,2,,,
08108421,2,,,
08108439,2,,,
08108462,2,,,
08108473,2,,,
08108511,2,,,
08108514,2,,,
08108529,2,,,
08108579,2,,,
08108612,2,,,
08108613,2,,,
08108617,2,,,
08108655,2,,,
08108678,2,,,
08108685,2,,,
08108696,2,,,
08108707,2,,,
08108719,2,,,
08108761,2,,,
08108765,2,,,
08108772,2,,,
08108807,2,,,
08108815,2,,,
08108825,2,,,
08108854,2,,,
08108872,2,,,
08108880,2,,,
08108897,2,,,
08108899,2,,,
08108902,2,,,
08108915,2,,,
08108948,2,,,
08108953,2,,,
08108954,2,,,
08108972,2,,,
08108977,2,,,
08108982,2,,,
