ca1,co2,Columna1,Columna2,Columna2
08330782,0,,,
08330783,0,,,
08330784,0,,,
08330785,0,,,
08330786,0,,,
08330787,0,,,
08330788,0,,,
08330789,0,,,
08330790,0,,,
08330791,0,,,
08330792,0,,,
08330793,0,,,
08330794,0,,,
08330795,0,,,
08330796,0,,,
08330797,0,,,
08330798,0,,,
08330799,0,,,
08330800,0,,,
08330801,0,,,
08330802,0,,,
08330803,0,,,
08330804,0,,,
08330805,0,,,
08330806,0,,,
08330807,0,,,
08330808,0,,,
08330809,0,,,
08330810,0,,,
08330811,0,,,
08330812,0,,,
08330813,0,,,
08330814,0,,,
08330815,0,,,
08330816,0,,,
08330817,0,,,
08330818,0,,,
08330819,0,,,
08330820,0,,,
08330821,0,,,
08330822,0,,,
08330823,0,,,
08330824,0,,,
08330825,0,,,
08330826,0,,,
08330827,0,,,
08330828,0,,,
08330829,0,,,
08330830,0,,,
08330831,0,,,
08330832,0,,,
08330833,0,,,
08330834,0,,,
08330835,0,,,
08330836,0,,,
08330837,0,,,
08330838,0,,,
08330839,0,,,
08330840,0,,,
08330841,0,,,
08330842,0,,,
08330843,0,,,
08330844,0,,,
08330845,0,,,
08330846,0,,,
08330847,0,,,
08330848,0,,,
08330849,0,,,
08330850,0,,,
08330851,0,,,
08330852,0,,,
08330853,0,,,
08330854,0,,,
08330855,0,,,
08330856,0,,,
08330857,0,,,
08330858,0,,,
08330859,0,,,
08330860,0,,,
08330861,0,,,
08330862,0,,,
08330863,0,,,
08330864,0,,,
08330865,0,,,
08330866,0,,,
08330867,0,,,
08330868,0,,,
08330869,0,,,
08330870,0,,,
08330871,0,,,
08330872,0,,,
08330873,0,,,
08330874,0,,,
08330875,0,,,
08330876,0,,,
08330877,0,,,
08330878,0,,,
08330879,0,,,
08330880,0,,,
08330881,0,,,
08330882,0,,,
08330883,0,,,
08330884,0,,,
08330885,0,,,
08330886,0,,,
08330887,0,,,
08330888,0,,,
08330889,0,,,
08330890,0,,,
08330891,0,,,
08330892,0,,,
08330893,0,,,
08330894,0,,,
08330895,0,,,
08330896,0,,,
08330897,0,,,
08330898,0,,,
08330899,0,,,
08330900,0,,,
08330901,0,,,
08330902,0,,,
08330903,0,,,
08330904,0,,,
08330905,0,,,
08330906,0,,,
08330907,0,,,
08330908,0,,,
08330909,0,,,
08330910,0,,,
08330911,0,,,
08330912,0,,,
08330913,0,,,
08330914,0,,,
08330915,0,,,
08330916,0,,,
08330917,0,,,
08330918,0,,,
08330919,0,,,
08330920,0,,,
08330921,0,,,
08330922,0,,,
08330923,0,,,
08330924,0,,,
08330925,0,,,
08330926,0,,,
08330927,0,,,
08330928,0,,,
08330929,0,,,
08330930,0,,,
08330931,0,,,
08330932,0,,,
08330933,0,,,
08330934,0,,,
08330935,0,,,
08330936,0,,,
08330937,0,,,
08330938,0,,,
08330939,0,,,
08330940,0,,,
08330941,0,,,
08330942,0,,,
08330943,0,,,
08330944,0,,,
08330945,0,,,
08330946,0,,,
08330947,0,,,
08330948,0,,,
08330949,0,,,
08330950,0,,,
08330951,0,,,
08330952,0,,,
08330953,0,,,
