asd,co2,Columna1,Columna2,Columna2
41002942,0,,,
41002943,0,,,
41002944,0,,,
41002945,0,,,
41002946,0,,,
41002947,0,,,
41002948,0,,,
41002949,0,,,
41002950,0,,,
41002951,0,,,
41002952,0,,,
41002953,0,,,
41002954,0,,,
41002955,0,,,
41002956,0,,,
41002957,0,,,
41002958,0,,,
41002959,0,,,
41002960,0,,,
41002961,0,,,
41002962,0,,,
41002963,0,,,
41002964,0,,,
41002965,0,,,
41002966,0,,,
41002967,0,,,
41002968,0,,,
41002969,0,,,
41002970,0,,,
41002971,0,,,
41002972,0,,,
41002973,0,,,
41002974,0,,,
41002975,0,,,
41002976,0,,,
41002977,0,,,
41002978,0,,,
41002979,0,,,
41002980,0,,,
41002981,0,,,
41002982,0,,,
41002983,0,,,
41002984,0,,,
41002985,0,,,
41002986,0,,,
41002987,0,,,
41002988,0,,,
41002989,0,,,
41002990,0,,,
41002991,0,,,
41002992,0,,,
41002993,0,,,
41002994,0,,,
41002995,0,,,
41002996,0,,,
41002997,0,,,
41002998,0,,,
41002999,0,,,
41003000,0,,,
41003001,0,,,
41003002,0,,,
41003003,0,,,
41003004,0,,,
41003005,0,,,
41003006,0,,,
41003007,0,,,
41003008,0,,,
41003009,0,,,
41003010,0,,,
41003011,0,,,
41003012,0,,,
41003013,0,,,
41003014,0,,,
41003015,0,,,
41003016,0,,,
41003017,0,,,
41003018,0,,,
41003019,0,,,
41003020,0,,,
41003021,0,,,
41003022,0,,,
41003023,0,,,
41003024,0,,,
41003025,0,,,
41003026,0,,,
41003027,0,,,
41003028,0,,,
41003029,0,,,
41003030,0,,,
41003031,0,,,
41003032,0,,,
41003033,0,,,
41003034,0,,,
41003035,0,,,
41003036,0,,,
41003037,0,,,
41003038,0,,,
41003039,0,,,
41003040,0,,,
41003041,0,,,
41003042,0,,,
41003043,0,,,
41003044,0,,,
41003045,0,,,
41003046,0,,,
41003047,0,,,
41003048,0,,,
41003049,0,,,
41003050,0,,,
41003051,0,,,
41003052,0,,,
41003053,0,,,
41003054,0,,,
41003055,0,,,
41003056,0,,,
41003057,0,,,
41003058,0,,,
41003059,0,,,
41003060,0,,,
41003061,0,,,
41003062,0,,,
41003063,0,,,
41003064,0,,,
41003065,0,,,
41003066,0,,,
41003067,0,,,
41003068,0,,,
41003069,0,,,
41003070,0,,,
41003071,0,,,
41003072,0,,,
41003073,0,,,
41003074,0,,,
41003075,0,,,
41003076,0,,,
41003077,0,,,
41003078,0,,,
41003079,0,,,
41003080,0,,,
41003081,0,,,
41003082,0,,,
41003083,0,,,
41003084,0,,,
41003085,0,,,
41003086,0,,,
41003087,0,,,
41003088,0,,,
41003089,0,,,
41003090,0,,,
41003091,0,,,
41003092,0,,,
41003093,0,,,
41003094,0,,,
41003095,0,,,
41003096,0,,,
41003097,0,,,
41003098,0,,,
41003099,0,,,
41003100,0,,,
41003101,0,,,
41003102,0,,,
41003103,0,,,
41003104,0,,,
41003105,0,,,
41003106,0,,,
41003107,0,,,
41003108,0,,,
41003109,0,,,
41003110,0,,,
41003111,0,,,
41003112,0,,,
41003113,0,,,
41003114,0,,,
41003115,0,,,
41003116,0,,,
41003117,0,,,
41003118,0,,,
41003119,0,,,
41003120,0,,,
41003121,0,,,
41003122,0,,,
41003123,0,,,
41003124,0,,,
41003125,0,,,
41003126,0,,,
41003127,0,,,
41003128,0,,,
41003129,0,,,
41003130,0,,,
41003131,0,,,
41003132,0,,,
41003133,0,,,
41003134,0,,,
41003135,0,,,
41003136,0,,,
41003137,0,,,
41003138,0,,,
41003139,0,,,
41003140,0,,,
41003141,0,,,
41003142,0,,,
41003143,0,,,
41003144,0,,,
41003145,0,,,
41003146,0,,,
41003147,0,,,
41003148,0,,,
41003149,0,,,
41003150,0,,,
41003151,0,,,
41003152,0,,,
41003153,0,,,
41003154,0,,,
41003155,0,,,
41003156,0,,,
41003157,0,,,
41003158,0,,,
41003159,0,,,
41003160,0,,,
41003161,0,,,
41003162,0,,,
41003163,0,,,
41003164,0,,,
41003165,0,,,
41003166,0,,,
41003167,0,,,
41003168,0,,,
41003169,0,,,
41003170,0,,,
41003171,0,,,
41003172,0,,,
41003173,0,,,
41003174,0,,,
41003175,0,,,
41003176,0,,,
41003177,0,,,
41003178,0,,,
41003179,0,,,
41003180,0,,,
41003181,0,,,
41003182,0,,,
41003183,0,,,
41003184,0,,,
41003185,0,,,
41003186,0,,,
41003187,0,,,
41003188,0,,,
41003189,0,,,
41003190,0,,,
41003191,0,,,
41003192,0,,,
41003193,0,,,
41003194,0,,,
41003195,0,,,
41003196,0,,,
41003197,0,,,
41003198,0,,,
41003199,0,,,
41003200,0,,,
41003201,0,,,
41003202,0,,,
41003203,0,,,
41003204,0,,,
41003205,0,,,
41003206,0,,,
41003207,0,,,
41003208,0,,,
41003209,0,,,
41003210,0,,,
41003211,0,,,
41003212,0,,,
41003213,0,,,
41003214,0,,,
