co1,co2,Columna1,Columna2,Columna2
47505231,0,,,
47505232,0,,,
47505233,0,,,
47505234,0,,,
47505235,0,,,
47505236,0,,,
47505237,0,,,
47505238,0,,,
47505239,0,,,
47505240,0,,,
47505241,0,,,
47505242,0,,,
47505243,0,,,
47505244,0,,,
47505245,0,,,
47505246,0,,,
47505247,0,,,
47505248,0,,,
47505249,0,,,
47505250,0,,,
47505251,0,,,
47505252,0,,,
47505253,0,,,
47505254,0,,,
47505255,0,,,
47505256,0,,,
47505257,0,,,
47505258,0,,,
47505259,0,,,
47505260,0,,,
47505261,0,,,
47505262,0,,,
47505263,0,,,
47505264,0,,,
47505265,0,,,
47505266,0,,,
47505267,0,,,
47505268,0,,,
47505269,0,,,
47505270,0,,,
47505271,0,,,
47505272,0,,,
47505273,0,,,
47505274,0,,,
47505275,0,,,
47505276,0,,,
47505277,0,,,
47505278,0,,,
47505279,0,,,
47505280,0,,,
47505281,0,,,
47505282,0,,,
47505283,0,,,
47505284,0,,,
47505285,0,,,
47505286,0,,,
47505287,0,,,
47505288,0,,,
47505289,0,,,
47505290,0,,,
47505291,0,,,
47505292,0,,,
47505293,0,,,
47505294,0,,,
47505295,0,,,
47505296,0,,,
47505297,0,,,
47505298,0,,,
47505299,0,,,
47505300,0,,,
47505301,0,,,
47505302,0,,,
47505303,0,,,
47505304,0,,,
47505305,0,,,
47505306,0,,,
47505307,0,,,
47505308,0,,,
47505309,0,,,
47505310,0,,,
47505311,0,,,
47505312,0,,,
47505313,0,,,
47505314,0,,,
47505315,0,,,
47505316,0,,,
47505317,0,,,
47505318,0,,,
47505319,0,,,
47505320,0,,,
47505321,0,,,
47505322,0,,,
47505323,0,,,
47505324,0,,,
47505325,0,,,
47505326,0,,,
47505327,0,,,
47505328,0,,,
47505329,0,,,
47505330,0,,,
47505331,0,,,
47505332,0,,,
47505333,0,,,
47505334,0,,,
47505335,0,,,
47505336,0,,,
47505337,0,,,
47505338,0,,,
47505339,0,,,
47505340,0,,,
47505341,0,,,
47505342,0,,,
47505343,0,,,
47505344,0,,,
47505345,0,,,
47505346,0,,,
47505347,0,,,
47505348,0,,,
47505349,0,,,
47505350,0,,,
47505351,0,,,
47505352,0,,,
47505353,0,,,
47505354,0,,,
47505355,0,,,
47505356,0,,,
47505357,0,,,
47505358,0,,,
47505359,0,,,
47505360,0,,,
47505361,0,,,
47505362,0,,,
47505363,0,,,
47505364,0,,,
47505365,0,,,
47505366,0,,,
47505367,0,,,
47505368,0,,,
47505369,0,,,
47505370,0,,,
47505371,0,,,
47505372,0,,,
47505373,0,,,
47505374,0,,,
47505375,0,,,
47505376,0,,,
47505377,0,,,
47505378,0,,,
47505379,0,,,
47505380,0,,,
47505381,0,,,
47505382,0,,,
47505383,0,,,
47505384,0,,,
47505385,0,,,
47505386,0,,,
47505387,0,,,
47505388,0,,,
47505389,0,,,
47505390,0,,,
47505391,0,,,
47505392,0,,,
47505393,0,,,
47505394,0,,,
47505395,0,,,
47505396,0,,,
47505397,0,,,
47505398,0,,,
47505399,0,,,
47505400,0,,,
47505401,0,,,
47505402,0,,,
47505403,0,,,
47505404,0,,,
47505405,0,,,
47505406,0,,,
47505407,0,,,
47505408,0,,,
47505409,0,,,
47505410,0,,,
47505411,0,,,
47505412,0,,,
47505413,0,,,
47505414,0,,,
47505415,0,,,
47505416,0,,,
47505417,0,,,
47505418,0,,,
47505419,0,,,
47505420,0,,,
47505421,0,,,
47505422,0,,,
47505423,0,,,
47505424,0,,,
47505425,0,,,
47505426,0,,,
47505427,0,,,
47505428,0,,,
47505429,0,,,
47505430,0,,,
47505431,0,,,
47505432,0,,,
47505433,0,,,
47505434,0,,,
47505435,0,,,
47505436,0,,,
47505437,0,,,
47505438,0,,,
47505439,0,,,
47505440,0,,,
47505441,0,,,
47505442,0,,,
47505443,0,,,
47505444,0,,,
47505445,0,,,
47505446,0,,,
47505447,0,,,
47505448,0,,,
47505449,0,,,
47505450,0,,,
47505451,0,,,
47505452,0,,,
47505453,0,,,
47505454,0,,,
47505455,0,,,
47505456,0,,,
47505457,0,,,
47505458,0,,,
47505459,0,,,
47505460,0,,,
47505461,0,,,
47505462,0,,,
47505463,0,,,
47505464,0,,,
47505465,0,,,
47505466,0,,,
47505467,0,,,
47505468,0,,,
47505469,0,,,
47505470,0,,,
47505471,0,,,
47505472,0,,,
47505473,0,,,
47505474,0,,,
47505475,0,,,
47505476,0,,,
47505477,0,,,
47505478,0,,,
47505479,0,,,
47505480,0,,,
47505481,0,,,
47505482,0,,,
47505483,0,,,
47505484,0,,,
47505485,0,,,
47505486,0,,,
47505487,0,,,
47505488,0,,,
47505489,0,,,
47505490,0,,,
47505491,0,,,
47505492,0,,,
47505493,0,,,
47505494,0,,,
47505495,0,,,
47505496,0,,,
47505497,0,,,
47505498,0,,,
47505499,0,,,
47505500,0,,,
47505501,0,,,
47505502,0,,,
47505503,0,,,
47505504,0,,,
47505505,0,,,
47505506,0,,,
47505507,0,,,
47505508,0,,,
47505509,0,,,
47505510,0,,,
47505511,0,,,
47505512,0,,,
47505513,0,,,
47505514,0,,,
47505515,0,,,
47505516,0,,,
47505517,0,,,
47505518,0,,,
47505519,0,,,
47505520,0,,,
47505521,0,,,
47505522,0,,,
47505523,0,,,
47505524,0,,,
47505525,0,,,
47505526,0,,,
47505527,0,,,
47505528,0,,,
47505529,0,,,
47505530,0,,,
47505531,0,,,
47505532,0,,,
47505533,0,,,
47505534,0,,,
47505535,0,,,
47505536,0,,,
47505537,0,,,
47505538,0,,,
47505539,0,,,
47505540,0,,,
47505541,0,,,
47505542,0,,,
47505543,0,,,
47505544,0,,,
47505545,0,,,
47505546,0,,,
