col1,co2,Columna1,Columna2,Columna2
08131037,0,,,
08131038,0,,,
08131039,0,,,
08131040,0,,,
08131041,0,,,
08131042,0,,,
08131043,0,,,
08131044,0,,,
08131045,0,,,
08131046,0,,,
08131047,0,,,
08131048,0,,,
08131049,0,,,
08131050,0,,,
08131051,0,,,
08131052,0,,,
08131053,0,,,
08131054,0,,,
08131055,0,,,
08131056,0,,,
08131057,0,,,
08131058,0,,,
08131059,0,,,
08131060,0,,,
08131061,0,,,
08131062,0,,,
08131063,0,,,
08131064,0,,,
08131065,0,,,
08131066,0,,,
08131067,0,,,
08131068,0,,,
08131069,0,,,
08131070,0,,,
08131071,0,,,
08131072,0,,,
08131073,0,,,
08131074,0,,,
08131075,0,,,
08131076,0,,,
08131077,0,,,
08131078,0,,,
08131079,0,,,
08131080,0,,,
08131081,0,,,
08131082,0,,,
08131083,0,,,
08131084,0,,,
08131085,0,,,
08131086,0,,,
08131087,0,,,
08131088,0,,,
08131089,0,,,
08131090,0,,,
08131091,0,,,
08131092,0,,,
08131093,0,,,
08131094,0,,,
08131095,0,,,
08131096,0,,,
08131097,0,,,
08131098,0,,,
08131099,0,,,
08131100,0,,,
08131101,0,,,
08131102,0,,,
08131103,0,,,
08131104,0,,,
08131105,0,,,
08131106,0,,,
08131107,0,,,
08131108,0,,,
08131109,0,,,
08131110,0,,,
08131111,0,,,
08131112,0,,,
08131113,0,,,
08131114,0,,,
08131115,0,,,
08131116,0,,,
08131117,0,,,
08131118,0,,,
08131119,0,,,
08131120,0,,,
08131121,0,,,
08131122,0,,,
08131123,0,,,
08131124,0,,,
08131125,0,,,
08131126,0,,,
08131127,0,,,
08131128,0,,,
08131129,0,,,
08131130,0,,,
08131131,0,,,
08131132,0,,,
08131133,0,,,
08131134,0,,,
08131135,0,,,
08131136,0,,,
08131137,0,,,
08131138,0,,,
08131139,0,,,
08131140,0,,,
08131141,0,,,
08131142,0,,,
08131143,0,,,
08131144,0,,,
08131145,0,,,
08131146,0,,,
08131147,0,,,
08131148,0,,,
08131149,0,,,
08131150,0,,,
08131151,0,,,
08131152,0,,,
08131153,0,,,
08131154,0,,,
08131155,0,,,
08131156,0,,,
08131157,0,,,
08131158,0,,,
08131159,0,,,
08131160,0,,,
08131161,0,,,
08131162,0,,,
08131163,0,,,
08131164,0,,,
08131165,0,,,
08131166,0,,,
08131167,0,,,
08131168,0,,,
08131169,0,,,
08131170,0,,,
08131171,0,,,
08131172,0,,,
08131173,0,,,
08131174,0,,,
08131175,0,,,
08131176,0,,,
08131177,0,,,
08131178,0,,,
08131179,0,,,
08131180,0,,,
08131181,0,,,
08131182,0,,,
08131183,0,,,
08131184,0,,,
08131185,0,,,
08131186,0,,,
08131187,0,,,
08131188,0,,,
08131189,0,,,
08131190,0,,,
08131191,0,,,
08131192,0,,,
08131193,0,,,
08131194,0,,,
08131195,0,,,
08131196,0,,,
08131197,0,,,
08131198,0,,,
08131199,0,,,
08131200,0,,,
08131201,0,,,
08131202,0,,,
08131203,0,,,
08131204,0,,,
08131205,0,,,
08131206,0,,,
08131207,0,,,
08131208,0,,,
08131209,0,,,
08131210,0,,,
08131211,0,,,
08131212,0,,,
08131213,0,,,
08131214,0,,,
08131215,0,,,
08131216,0,,,
08131217,0,,,
08131218,0,,,
08131219,0,,,
08131220,0,,,
08131221,0,,,
08131222,0,,,
08131223,0,,,
08131224,0,,,
08131225,0,,,
08131226,0,,,
08131227,0,,,
08131228,0,,,
08131229,0,,,
08131230,0,,,
08131231,0,,,
08131232,0,,,
08131233,0,,,
08131234,0,,,
08131235,0,,,
08131236,0,,,
08131237,0,,,
08131238,0,,,
08131239,0,,,
08131240,0,,,
08131241,0,,,
08131242,0,,,
08131243,0,,,
08131244,0,,,
08131245,0,,,
08131246,0,,,
08131247,0,,,
08131248,0,,,
08131249,0,,,
08131250,0,,,
08131251,0,,,
08131252,0,,,
08131253,0,,,
08131254,0,,,
08131255,0,,,
08131256,0,,,
08131257,0,,,
08131258,0,,,
08131259,0,,,
08131260,0,,,
08131261,0,,,
08131262,0,,,
08131263,0,,,
08131264,0,,,
08131265,0,,,
08131266,0,,,
08131267,0,,,
08131268,0,,,
08131269,0,,,
08131270,0,,,
08131271,0,,,
08131272,0,,,
08131273,0,,,
08131274,0,,,
08131275,0,,,
08131276,0,,,
08131277,0,,,
08131278,0,,,
08131279,0,,,
08131280,0,,,
08131281,0,,,
08131282,0,,,
08131283,0,,,
08131284,0,,,
08131285,0,,,
08131286,0,,,
08131287,0,,,
08131288,0,,,
08131289,0,,,
08131290,0,,,
08131291,0,,,
08131292,0,,,
08131293,0,,,
08131294,0,,,
08131295,0,,,
08131296,0,,,
08131297,0,,,
08131298,0,,,
08131299,0,,,
08131300,0,,,
08131301,0,,,
08131302,0,,,
08131303,0,,,
08131304,0,,,
08131305,0,,,
08131306,0,,,
08131307,0,,,
08131308,0,,,
08131309,0,,,
08131310,0,,,
08131311,0,,,
08131312,0,,,
08131313,0,,,
08131314,0,,,
08131315,0,,,
